City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
10,half moon bay,US,83.57,broken clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
12,vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
13,paramirim,BR,76.86,few clouds,-13.4425,-42.2389,Pousada Rio Pequeno
22,larnaca,CY,78.67,clear sky,34.9167,33.6292,Flamingo Beach Hotel
24,atuona,PF,76.91,overcast clouds,-9.8,-139.0333,Villa Enata
32,paracuru,BR,80.11,clear sky,-3.41,-39.0306,Hotel Vento Brasil
34,andros town,BS,84.16,few clouds,24.7,-77.7667,Hanks place
40,ishigaki,JP,86.13,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
47,jamestown,US,85.59,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
53,tual,ID,80.13,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
55,hilo,US,89.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
58,butaritari,KI,82.0,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
59,georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
63,naze,JP,81.52,clear sky,28.3667,129.4833,Shishime Hotel
71,thompson,CA,75.36,few clouds,55.7435,-97.8558,Burntwood Hotel
76,banda aceh,ID,78.84,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
80,bandar-e anzali,IR,77.11,clear sky,37.4727,49.4622,هتل بیاچ
91,macaubas,BR,77.23,few clouds,-13.0194,-42.6986,Hotel Portal
94,grand island,US,77.29,overcast clouds,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
95,mindelo,CV,80.15,broken clouds,16.8901,-24.9804,Hotel Gaudi
97,faanui,PF,77.11,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
98,casambalangan,PH,81.03,overcast clouds,18.3765,122.1274,Villa Saturnina
101,guanica,PR,87.98,few clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
104,pitimbu,BR,75.79,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
105,kapaa,US,82.72,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
107,lethem,GY,82.85,broken clouds,3.3803,-59.7968,Savannah Inn
