City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,qaanaaq,GL,77.484,-69.3632,44.56,53,4,4.72,clear sky
1,morondava,MG,-20.2833,44.2833,70.16,76,0,9.6,clear sky
2,albany,US,42.6001,-73.9662,89.33,70,64,1.01,broken clouds
3,cabo san lucas,MX,22.8909,-109.9124,93.61,72,75,8.05,broken clouds
4,mataura,NZ,-46.1927,168.8643,38.48,76,9,7.52,clear sky
5,port hedland,AU,-20.3167,118.5667,53.65,54,0,8.05,clear sky
6,namibe,AO,-15.1961,12.1522,61.47,89,35,2.93,scattered clouds
7,ushuaia,AR,-54.8,-68.3,38.86,65,0,10.36,clear sky
8,kisangani,CD,0.5167,25.2,72.61,86,58,2.17,broken clouds
9,port elizabeth,ZA,-33.918,25.5701,61.32,99,100,9.22,overcast clouds
10,half moon bay,US,37.4636,-122.4286,83.57,61,75,21.85,broken clouds
11,college,US,64.8569,-147.8028,59.0,64,75,8.05,broken clouds
12,vaini,TO,-21.2,-175.2,80.76,89,20,8.05,few clouds
13,paramirim,BR,-13.4425,-42.2389,76.86,50,22,10.18,few clouds
14,opuwo,NA,-18.0607,13.84,66.15,23,13,5.64,few clouds
15,busselton,AU,-33.65,115.3333,57.27,77,98,22.41,overcast clouds
16,moron,AR,-34.6534,-58.6198,50.97,78,94,10.71,overcast clouds
17,nikolskoye,RU,59.7035,30.7861,58.89,79,11,4.09,few clouds
18,maxixe,MZ,-23.8597,35.3472,68.2,85,29,9.42,scattered clouds
19,codrington,AU,-38.2667,141.9667,38.26,88,5,7.2,clear sky
20,eureka,US,40.8021,-124.1637,74.68,79,90,5.99,overcast clouds
21,lagoa,PT,39.05,-27.9833,73.81,82,14,17.6,light rain
22,larnaca,CY,34.9167,33.6292,78.67,72,0,8.05,clear sky
23,srednekolymsk,RU,67.45,153.6833,58.35,38,89,14.14,overcast clouds
24,atuona,PF,-9.8,-139.0333,76.91,70,92,18.23,overcast clouds
