City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vredendal,ZA,2022-08-01 04:44:56,-31.6683,18.5012,45.95,59,0,6.42
1,Matara,LK,2022-08-01 04:44:56,5.9485,80.5353,78.51,89,98,15.99
2,Bethel,US,2022-08-01 04:44:57,41.3712,-73.414,74.25,88,75,3.44
3,Praia,CV,2022-08-01 04:44:58,14.9215,-23.5087,77.54,73,75,11.5
4,Vila,PT,2022-08-01 04:44:58,42.0304,-8.1588,63.48,51,0,4.36
5,Castro,BR,2022-08-01 04:44:59,-24.7911,-50.0119,51.24,80,0,1.66
6,Avarua,CK,2022-08-01 04:44:59,-21.2078,-159.775,73.45,88,40,10.36
7,Tiksi,RU,2022-08-01 04:45:00,71.6872,128.8694,40.17,93,100,17.05
8,Chapais,CA,2022-08-01 04:45:00,49.7834,-74.8492,56.98,84,95,3.58
9,Kavieng,PG,2022-08-01 04:45:01,-2.5744,150.7967,85.06,71,82,17.45
10,Zabol,AF,2022-08-01 04:45:02,32.25,67.25,79.09,25,0,9.06
11,Sarlat-La-Caneda,FR,2022-08-01 04:45:03,44.889,1.2166,60.49,72,0,0.98
12,Yichun,CN,2022-08-01 04:45:04,47.7,128.9,86.41,49,17,8.86
13,Mataura,NZ,2022-08-01 04:45:05,-46.1927,168.8643,49.48,74,92,6.13
14,Villarrobledo,ES,2022-08-01 04:45:05,39.2699,-2.6012,77.77,70,0,13.62
15,Yellowknife,CA,2022-08-01 04:40:46,62.456,-114.3525,61.32,51,20,3.44
16,Beringovskiy,RU,2022-08-01 04:45:07,63.05,179.3167,50.0,62,95,2.19
17,Rosario,AR,2022-08-01 04:41:31,-32.9468,-60.6393,53.98,83,0,3.44
18,Taikang,CN,2022-08-01 04:45:07,46.8333,124.4167,88.92,52,0,9.46
19,Vaini,TO,2022-08-01 04:45:08,-21.2,-175.2,78.96,94,75,6.91
20,Aykhal,RU,2022-08-01 04:45:09,66.0,111.5,53.46,89,100,15.5
21,Atuona,PF,2022-08-01 04:45:09,-9.8,-139.0333,77.25,74,13,11.41
22,Rikitea,PF,2022-08-01 04:45:10,-23.1203,-134.9692,72.54,74,99,25.64
23,Albany,US,2022-08-01 04:41:33,42.6001,-73.9662,70.21,79,74,2.89
24,Ushuaia,AR,2022-08-01 04:40:26,-54.8,-68.3,35.26,93,0,1.14
25,Bengkulu,ID,2022-08-01 04:45:11,-3.8004,102.2655,84.49,68,54,6.69
26,Saint-Philippe,RE,2022-08-01 04:45:12,-21.3585,55.7679,72.99,72,41,7.56
27,Tygda,RU,2022-08-01 04:45:12,53.1167,126.3333,85.62,37,13,4.63
28,Waddan,LY,2022-08-01 04:45:13,29.1614,16.139,77.4,51,0,2.48
29,Svetlyy,RU,2022-08-01 04:45:14,54.675,20.1347,64.45,86,12,8.46
30,Hambantota,LK,2022-08-01 04:45:14,6.1241,81.1185,80.94,94,75,12.66
31,Celestun,MX,2022-08-01 04:45:15,20.8667,-90.4,79.07,87,61,11.07
32,Bluff,NZ,2022-08-01 04:45:15,-46.6,168.3333,49.8,75,100,17.9
33,Hualmay,PE,2022-08-01 04:45:16,-11.0964,-77.6139,60.55,86,12,9.24
34,Quesnel,CA,2022-08-01 04:41:53,52.9999,-122.5029,73.9,64,40,2.3
35,Verkhoyansk,RU,2022-08-01 04:45:17,67.5447,133.385,84.42,36,98,14.65
36,Windhoek,NA,2022-08-01 04:40:27,-22.5594,17.0832,49.1,40,0,5.75
37,Bilma,NE,2022-08-01 04:45:18,18.6853,12.9164,86.13,44,77,5.66
38,Tuatapere,NZ,2022-08-01 04:45:18,-46.1333,167.6833,47.25,86,100,9.78
39,Arraial Do Cabo,BR,2022-08-01 04:43:17,-22.9661,-42.0278,68.05,75,0,11.01
40,Baykit,RU,2022-08-01 04:45:19,61.67,96.37,64.9,84,100,6.11
41,Constitucion,CL,2022-08-01 04:40:57,-35.3333,-72.4167,48.54,90,95,6.38
42,Mehamn,NO,2022-08-01 04:45:20,71.0357,27.8492,58.95,88,75,3.44
43,New Norfolk,AU,2022-08-01 04:45:21,-42.7826,147.0587,53.92,81,41,3.0
44,Bathsheba,BB,2022-08-01 04:45:21,13.2167,-59.5167,83.01,90,40,19.57
45,Lengshuijiang,CN,2022-08-01 04:45:22,27.6881,111.4294,96.17,45,0,2.84
46,Punta Arenas,CL,2022-08-01 04:40:35,-53.15,-70.9167,42.91,75,75,16.11
